Project Name,City,State,ZIP Code,Project Type,Products Used,Product Category,Annual Energy Savings (kWh/Yr),Annual Cost Savings ($),Fixtures Commissioned,Improved Lighting Levels,Maintenance Savings ($),Images,Description,Challenge,Resolution,Latitude,Longitude
Sagamore Trail Lighting,West Lafayette,Indiana,47906,Outdoor - Municipal,Precision LED Bollard Fixtures,Outdoor Pathway Lighting,"637,655+","$46,867+",148,99%,-,,"The City of West Lafayette partnered with IKIO to modernize lighting along the Sagamore Trail, improving visibility, safety, and energy efficiency for pedestrians and cyclists using this public pathway. The solution provided consistent, low-glare illumination while enhancing the trail’s usability after dark and reducing operational costs","Legacy lighting along the trail delivered uneven illumination, poor visibility, and high energy consumption, creating safety concerns for trail users after dusk. Aging fixtures required frequent maintenance and lacked beam control, leading to glare and visual disruption. The city needed a reliable LED upgrade that enhanced safety and comfort without major infrastructure changes","IKIO installed precision LED bollard fixtures with glare-controlled optics and adaptive lighting distribution tailored to the trail layout. The retrofit delivered uniform illumination, improved visibility and safety, and reduced energy consumption and maintenance. Installation was phased to avoid trail closure and minimize disruption to public use.",40.444,-86.9237
Northwest Industrial Park,Indianapolis,Indiana,46278,Outdoor - Commercial,LED Wall Packs + Amparo LED Area Luminaires,Outdoor Area & Wall Pack Lighting,-,-,-,-,-,, - ,"Northwest Industrial Park – 8219 and 8227, owned by Bianco Properties, a commercial property management company, consists of two large buildings. Located on Northwest Blvd in Indianapolis, IN 46278, the property had outdated HID lighting and several nonfunctional fixtures, resulting in low light levels for tenants. The project involved replacing these old and faulty fixtures with new LED products that not only provide better light output but also reduce operating expenses for the property","Bianco Properties chose IKIO’s LED Wall Packs and Amaparo LED Area Luminaires to upgrade their outdated exterior lighting. Our lighting partner, LED Indy, strategically optimized the placement of IKIO’s LED products to improve light coverage while reducing the total number of fixtures. To maximize efficiency, LED Indy modified existing poles by replacing three- or four-light setups with two-headed fixtures, significantly lowering operating costs and future maintenance expenses. Additionally, they rewired the pole feeds from 480V to 277V, helping the customer cut costs, as 480V-compatible drivers are more expensive. These upgrades resulted in sig",39.8726,-86.2768
Centennial Park Pickleball Courts,Crossville,Tennessee,38555,Athletic - Recreation,Precision-Controlled Sports LED Fixtures (50 fc avg),Outdoor Sports Lighting,-,-,-,-,-,,"The City of Crossville partnered with IKIO to upgrade lighting at the Centennial Park pickleball courts, enhancing evening play quality, glare control, and longterm reliability. The project focused on providing consistent, recreation-ready illumination while minimizing light spill and maintenance in a community park setting.","The existing lighting at Centennial Park’s pickleball courts produced glare, uneven illumination, and light spill that affected player comfort and surrounding areas. The city needed an energy-efficient LED solution that would deliver improved visibility and consistent performance without disrupting park use or increasing ongoing maintenance demands","IKIO delivered a full LED retrofit across all eight courts using precision-controlled fixtures designed for recreational sports. The system was engineered with glare control optics and achieved a uniform minimum average of 50 foot-candles on playing surfaces, substantially improving illumination quality, reducing light trespass, and providing a low-maintenance, durable lighting solution for evening play.",35.9623,-85.0514
Bolton High School,Arlington,Tennessee,38002,Athletic - School Field,Precision Optic LED Sports Lighting,Outdoor Sports Lighting,"224,208+","$16,479+",129,41%,-,,"Bolton High School partnered with IKIO to modernize athletic field lighting, delivering uniform, high-performance illumination designed to enhance visibility, support night games and practices, and improve safety for athletes and spectators. The upgrade prioritized playability and energy efficiency while minimizing disruptions to school schedules.","Bolton High School’s athletic lighting was outdated, causing uneven illumination, glare, and high energy use. Limited visibility impacted evening games and practices. The school required an efficient LED solution to improve performance and safety without disrupting academic or athletic schedules.","IKIO installed a customized LED sports lighting system with precision optics for uniform, glare-controlled coverage. The upgrade improved visibility, reduced energy consumption, and delivered a durable, low-maintenance solution completed with minimal disruption.",35.2752,-89.7295
Louis Crews Stadium (A&M University),Normal,Alabama,35762,Athletic - Stadium,Advanced LED Sports Lighting + Controls,Stadium Sports Lighting,"493,257.6+","$54,554.29+",154,50.90%,-,Picture,"Alabama A&M University partnered with IKIO to upgrade the lighting at Louis Crews Stadium, bringing a modern LED lighting system to the athletic venue. The solution was designed to improve on-field visibility for athletes and spectators, support broadcast-ready illumination, enhance the fan experience, and significantly reduce energy consumption and maintenance costs.","The existing HID lighting system consumed high energy and delivered uneven illumination, affecting nighttime games and broadcasts. The university needed a high-performance, energy-efficient solution to improve visibility and reliability.","IKIO installed a precision LED sports lighting system with advanced controls to deliver uniform, broadcast-ready illumination. The upgrade reduced energy use, improved performance, and provided a durable, low-maintenance solution for long-term stadium operations.",34.789,-86.5719
Mohawk High School,Crossville,Tennessee,38555,Athletic - School Field,High-Intensity LED Sports Lighting + RGB Capability,Outdoor Sports Lighting,-,-,-,-,-,,"Mohawk High School partnered with IKIO to upgrade the athletic field lighting for its football program. The goal was to replace outdated, inefficient lighting with a modern LED system that enhances visibility, supports night games and practices, reduces energy consumption, and improves overall spectator and player experience","The existing football field lighting was outdated and delivered uneven illumination with high energy consumption. Poor visibility affected nighttime games and practices. The school needed an efficient LED upgrade to improve safety, performance, and reliability without disrupting athletic schedules.","IKIO installed a customized LED sports lighting system designed for uniform, high-intensity coverage across the field. The upgrade enhanced visibility, reduced energy use, and provided a durable, low-maintenance solution to support long-term athletic performance",35.9623,-85.0514
Searcy School District,Searcy,Arkansas,72143,Athletic - School Fields,Field-Specific LED Sports Lighting,Outdoor Sports Lighting,"673,920","$49,533.12 ",234,66%,-,,"Searcy School District partnered with IKIO to modernize sports lighting across its athletic fields, including football and baseball venues. The upgrade was designed to deliver uniform brightness, reduce glare, and support extended game schedules while improving the overall experience for athletes and spectators.","The district’s aging sports lighting systems produced uneven illumination and poor visibility, making it difficult to host after-dark games and practices. They needed an energy-efficient LED solution that would enhance field visibility and safety without disrupting athletic operations or requiring extended downtime.","IKIO implemented field-specific LED lighting with pre-engineered layouts and high-performance fixtures tailored for each athletic venue. The upgrade delivered uniform, glare-controlled illumination, significantly improved lighting levels, and reduced energy use while maintaining normal field activity throughout the installation process.",35.2436,-91.7317
Guthrie Independent School District,Guthrie,Oklahoma,73044,Athletic - School Fields,160 lm/W LED Sports Lighting System,Outdoor Sports Lighting,"368,640","$27,095.04 ",128,66%,-,,"The upgrade at Guthrie, featuring precision-engineered optics, provided consistent luminance and improved visual acuity. This enhancement allowed both players and spectators to better enjoy the game and see the ball with visual clarity, even during fast-paced action.","Guthrie faced significant issues with uneven illumination and dimly lit areas on their sports fields, which severely impacted playability.","The new system, featuring 160 lm/W efficacy and high-quality multifaceted optics, significantly improved lighting levels while meeting OSSAA standards.",35.833,-97.436
Bartlesville ISD,Bartlesville,Oklahoma,74003,Athletic - School Fields,162 lm/W Stadium Flood Lights,Outdoor Sports Lighting,"691,200","$50,803.20 ",237,68%,-,,"The lighting system installed at Bartlesville Independent School District utilized IKIO’s high-efficiency luminaires, engineered for precise light output and optimal power usage. The new lighting reduced energy consumption by up to 80% compared to traditional HID systems, track ball trajectories, even during fastpaced action","Bartlesville ISD’s multiple sports facilities urgently required an energy-efficient lighting upgrade due to their existing high-wattage fixtures, which were driving up monthly energy costs.","The upgrade featured energyefficient stadium flood lights with 162 lm/W efficacy, providing uniform illumination at lower wattage and reducing energy consumption by 80%, meeting OSSAA standard",36.744,-95.9921
Pike High School,Indianapolis,Indiana,46268,Athletic - School Fields,High-Efficiency Precision Optic Fixtures,Outdoor Sports Lighting,"161,568","$11,875.25 ",187,25%,-,,"IKIO upgraded Pike High School’s sports lighting system, resolving the issue of uneven light distribution across the field. The new system provided balanced, high-quality illumination throughout, enhancing player safety and improving the overall spectator experience.","Pike’s sports arena had uneven lighting, with some areas overly lit while others remained dim, leading to safety concerns for players and reducing gameplay quality.",IKIO installed high-efficiency fixtures with precision optics to ensure uniform light distribution and improved visibility for both players and spectators.,39.8682,-86.2123
Elam Center (University of Tennessee Martin),Martin,Tennessee,38237,Athletic - Indoor Arena,Prima UFO High Bays (300W/240W) + RGBW Stadium Lights,Indoor Arena + Stadium Lighting,-,-,-,-,-,, - ,"The Kathleen and Tom Elam Center is a large, multi-purpose sports and recreation facility on the campus of the University of Tennessee at Martin, TN. Featuring seven basketball courts, seven racquetball courts, and dedicated spaces for volleyball and badminton, the center required a lighting upgrade that was easy to retrofit to ensure a quick and efficient project completion. In addition to several non-working fixtures, the existing HID lights were causing poor illumination and high energy costs. Recognizing the need for an energyefficient solution, the client reached out to us for LED lighting upgrades that would enhance visibility and reduce operational expense","After thorough discussions with our lighting partner, Clear Advantage Lighting, on the best solutions for this project, IKIO supplied them with our top-of-the-line Prima UFO High Bays and RGBW Stadium Lights—both recognized for their superior illumination and energy efficiency. Among the selected distributions, they utilized 300W and 240W Prima UFO High Bays along with 300W RGBW Stadium Lights. By strategically positioning IKIO’s luminaires, they maximized coverage with fewer fixtures, resulting in lower operating costs and reduced maintenance expenses over time. These upgrades are expected to generate significant long-term savings for the project.",36.3425,-88.8554
Abilene ISD,Abilene,Texas,79602,Mixed - Indoor/Outdoor/Athletic,Thermal-Managed High-Efficiency LED Fixtures,Full Facility Lighting,"617,616","$45,394.78 ","16,000+",60%,-,,"IKIO provided a complete lighting overhaul for Abilene, solving issues with overheating fixtures. The new system delivered consistent, high-quality lighting while reducing downtime and maintenance costs and ensuring smoother operations both indoors and outdoors.","The lighting systems in Abilene suffered frequent downtime due to fixture overheating, causing disruptions during events and significantly raising maintenance costs",IKIO installed high-efficiency fixtures equipped with advanced thermal management to prevent overheating and deliver uninterrupted performance during high-traffic events,32.4178,-99.7214
Tallassee City Schools,Tallassee,Alabama,36078,Athletic - School Fields,External Driver Sports Lighting System,Outdoor Sports Lighting,"584,064","$42,928.70 ",220,61%,-,,"Powered by external drivers, IKIO’s sports lighting solution for Tallassee streamlined maintenance with quick driver replacements and diagnostics, eliminating the need for frequent fixture access. This design will significantly reduce labor costs and downtime in the long term.",Tallassee faced high maintenance costs and operational inefficiencies due to an outdated lighting system that required frequent repairs and replacements.,"Implemented a centralized component enclosure with external driver and accessible wiring, eliminating the need to directly access fixtures for repairs and reducing labor costs.",32.551,-85.8978
Trenton Central High School,Trenton,New Jersey,8618,Athletic - School Field,Warranty-Backed Low-Maintenance Luminaires,Outdoor Sports Lighting,"60,480","$4,445.28 ",84,20%,-,,"Upgraded Trenton Central High School’s field with high-quality, lowmaintenance luminaires, resolving the frequent fixture failures of the previous system. The new solution improved system reliability minimized operational downtime, and significantly reduced maintenance costs.","Trenton faced frequent fixture failures, resulting in unexpected downtime and constant lighting replacements, which severely disrupted their maintenance budget. ","IKIO installed hassle-free, warranty-backed fixtures that ensured reliable performance and reduced the need for frequent replacements. The new system offers enhanced dependability.",40.2377,-74.7821
